title,field_summary,grant_is_ongoing,grant_audience,url,status,subtype,grant_amount,grant_amount_min,grant_amount_max,grant_fund,grant_date_range,grant_amount_text
"['Charlie’s Working Space, LA! - 2025/26']","[""Screen NSW, in partnership with Australians in Film (AiF), offers NSW screen practitioners the opportunity to secure access to one dedicated co-working space at Charlie's in Los Angeles.""]",[False],"['Business', 'Individual']",['/grants-and-funding/charlies-working-space-la-2025/26'],[True],['grant'],['single-figure'],,,,"[{'startDate': '01/07/2025', 'endDate': '30/06/2026'}]","[""Access to a co-working space at Charlie's in LA.""]"
['Location Scouts & Inbounds Program 2025/26'],['The program offers long-form footloose productions scouting assistance for location surveys for eligible projects.'],[False],"['Business', 'Individual']",['/grants-and-funding/location-scouts-inbounds-program-2025/26'],[True],['grant'],['range'],[1],[3000],,"[{'startDate': '01/07/2025', 'endDate': '30/06/2026'}]","['Up to $3,000']"
"['NSW Post, Digital and Visual Effects (PDV) Rebate 2024-25']","[""Screen NSW's Post, Digital and Visual Effects Rebate supports companies and practitioners carrying out PDV work in NSW.""]",[False],['Business'],['/grants-and-funding/nsw-post-digital-and-visual-effects-pdv-rebate-2024-25'],[True],['grant'],['range'],[50000],[42000000],,"[{'startDate': '01/07/2024', 'endDate': '30/06/2026'}]","['From $50,000']"
['Regional Filming Fund 2025-26'],['The Regional Filming Fund offsets costs associated with shooting in regional areas of NSW.'],[False],['Business'],['/grants-and-funding/regional-filming-fund-2025-26'],[True],['grant'],['range'],[1],[175000],,"[{'startDate': '01/07/2025', 'endDate': '30/06/2026'}]","['Up to $175,000']"
['NSW Digital Games Rebate 2025'],"['The NSW Government is offering a 10 per cent rebate for eligible digital games production. Games must have a Qualifying NSW Expenditure of at least AU$350,000 to be eligible.']",[False],['Business'],['/grants-and-funding/nsw-digital-games-rebate-2025'],[True],['grant'],['range'],[35000],[5800000],,"[{'startDate': '28/02/2025', 'endDate': '30/06/2026'}]","['From $35,000 based on 10% of eligible Qualifying NSW Expenditure with a minimum spend of AU$350,000']"
['RHP Raising or Retrofit'],['The Resilient Homes Fund (the Fund) has been designed\xa0 to support homeowners in their recovery and to build resilience in the Northern Rivers community following the February and March 2022 NSW Severe Weather Flooding event.'],[False],['Individual'],['/grants-and-funding/rhp-raising-or-retrofit'],[True],['grant'],['range'],[50000],[200000],,"[{'startDate': '01/02/2024', 'endDate': '01/07/2026'}]",
['Resilient Homes Program - Central West'],"[""To support eligible homeowners within the Central West LGA's of Cabonne, Forbes, Parkes and Lachlan following the 2022 Severe Weather Flooding Event.""]",[False],['Individual'],['/grants-and-funding/resilient-homes-program-central-west'],[True],['grant'],['up-to'],,[200000],,"[{'startDate': '28/10/2024', 'endDate': '01/07/2026'}]",
['National Energy Bill Relief for Small Businesses (2025-26)'],['The Australian Government has announced that all eligible small businesses will receive up to $150 to help with the cost of their electricity bills in the 2025-26 financial year.'],[False],['Business'],['/grants-and-funding/national-energy-bill-relief-for-small-businesses-2025-26'],[True],['grant'],['single-figure'],,,,"[{'startDate': '14/08/2025', 'endDate': '01/07/2026'}]",
['WASM Streets to Sea Phase 1 EOI '],['Streets to Sea is a NSW EPA $5 million grant round aiming to support organisations to develop and implement catchment-based litter prevention strategies.'],[False],"['Local Government', 'Not-for-profit']",['/grants-and-funding/wasm-streets-to-sea-phase-1-eoi'],[True],['grant'],['range'],[1],[1000000],,"[{'startDate': '03/02/2025', 'endDate': '27/10/2026'}]",['Funding of up to $1 million per applicant']
['Joint Procurement Funded Support – Stream 1'],['This grant provides tailored advice and assistance to councils and groups of councils to explore joint procurement of waste management service(s) or waste infrastructure (plan phase).'],[False],['Local Government'],['/grants-and-funding/joint-procurement-funded-support-%e2%80%93-stream-1'],[True],['grant'],['range'],[10000],[250000],,"[{'startDate': '12/06/2025', 'endDate': '30/06/2027'}]",
['Joint Procurement Funded Support – Stream 2'],['This grant provides tailored advice and assistance to councils and groups of councils to undertake joint procurement of waste management service(s) or waste infrastructure (plan phase).'],[False],['Local Government'],['/grants-and-funding/joint-procurement-funded-support-%e2%80%93-stream-2'],[True],['grant'],['range'],[50000],[500000],,"[{'startDate': '12/06/2025', 'endDate': '30/06/2027'}]",
['Bin Trim Equipment Rebates Program'],"['Reopening of the Bin Trim Equipment Rebates Program for eligible NSW businesses, councils, and organisations. $6 million has been allocated to continue the initiative for three years until 30 June 2027, or until all funding is used.']",[False],"['Business', 'Local Government', 'Not-for-profit']",['/grants-and-funding/bin-trim-equipment-rebates-program'],[True],['grant'],['up-to'],,[50000],,"[{'startDate': '17/11/2023', 'endDate': '30/06/2027'}]","['Up to $50,000']"
['Boating Infrastructure Emergency Repair Pool'],"['The NSW Boating Infrastructure Emergency Repair Pool (BIERP) grants provide funding to local councils and organisations to repair, replace, or improve public boating infrastructure damaged by natural disasters or severe weather events.']",[False],"['Business', 'Local Government', 'Not-for-profit']",['/grants-and-funding/boating-infrastructure-emergency-repair-pool'],[True],['grant'],['range'],[5000],[300000],,"[{'startDate': '10/03/2025', 'endDate': '30/06/2028'}]","['From $5,000 to $300,000 or until the $2 million allocated to the program has been exhausted, whichever is sooner.']"
['Critical Minerals Royalty Deferral Scheme'],['Critical mineral projects will be offered temporary financial relief through deferral of royalty payments for a period of 5 years.'],[False],['Business'],['/grants-and-funding/critical-minerals-royalty-deferral-scheme'],[True],['grant'],['single-figure'],,,,"[{'startDate': '01/07/2025', 'endDate': '01/07/2030'}]",['Royalty Deferral limit of $250 million across all applications']
['Sydney LHD Ad Hoc Grants'],['These Ad Hoc Grants support non-government organisations to deliver specified health services and projects in the Sydney Local Health District.'],[True],['Not-for-profit'],['/grants-and-funding/sydney-lhd-ad-hoc-grants'],[True],['grantnoncompetitive'],['from'],[87208],,,[{'startDate': '01/07/2021'}],
['Far West LHD Ministerial Approved Grants'],['These Ministerially Approved Grants (MAG) support non-government organisations to deliver specified health services in Far West Local Health District.'],[True],['Not-for-profit'],['/grants-and-funding/far-west-lhd-ministerial-approved-grants'],[True],['grantnoncompetitive'],['from'],[20700],,,[{'startDate': '01/04/2021'}],
['Regional Growth Initiative Election Commitments 2023/24'],['The Regional Growth Initiatives Election Commitments 2023/24 administers individual projects that have been committed for funding by the NSW Government and that fall within the Department of Primary Industries and Regional Development portfolio.'],[True],"['Local Government', 'Not-for-profit']",['/grants-and-funding/regional-growth-initiative-election-commitments-2023/24'],[True],['grantnoncompetitive'],['up-to'],,[1],,[{'startDate': '10/11/2023'}],['In line with invitation to apply']
['NSW Ambulance Ministerial Approved Grants'],['These Ministerially Approved Grants (MAG) support non-government organisations to deliver specific health services centred around health and social policy.'],[True],['Not-for-profit'],['/grants-and-funding/nsw-ambulance-ministerial-approved-grants'],[True],['grantnoncompetitive'],['up-to'],,[1],,[{'startDate': '31/12/2021'}],"[""Grant amount awarded at Minister's discretion.""]"
['Clean Air Society of Australia and New Zealand ad hoc grant'],['Funding to develop and deliver air quality training for local councils in NSW and across Australia that aims to improve councils’ capacity to manage air quality issues.'],[True],['Not-for-profit'],['/grants-and-funding/clean-air-society-of-australia-and-new-zealand-ad-hoc-grant'],[True],['grantnoncompetitive'],['single-figure'],,,,[{'startDate': '14/06/2024'}],
['Accelerating Priority Battery Projects in NSW'],['Ad hoc grants to Transgrid and the Australian Energy Market Operator (AEMO) for additional grid connection engineering resources.'],[True],"['Business', 'Individual']",['/grants-and-funding/accelerating-priority-battery-projects-nsw-0'],[True],['grantnoncompetitive'],['up-to'],,[8400000],,[{'startDate': '01/04/2024'}],
['Keeping Cats Safe at Home Phase 2 (Regional Expansion)'],['This non-competitive grant expands on the initial Keeping Cats Safe at Home project and aims to reduce the environmental impacts of roaming cats through behaviour change initiatives.'],[True],['Individual'],['/grants-and-funding/keeping-cats-safe-at-home-phase-2-regional-expansion'],[True],['grantnoncompetitive'],['single-figure'],,,['Environmental Trust'],[{'startDate': '17/06/2025'}],
['Online Resource Centre (Finances in Retirement Villages) - Ad Hoc Grant'],['A one-off ad hoc grant to support the development of an online resource centre for retirement village residents.'],[True],['Not-for-profit'],['/grants-and-funding/online-resource-centre-finances-retirement-villages-ad-hoc'],[True],['grantnoncompetitive'],['single-figure'],,,,[{'startDate': '01/07/2024'}],
['Seed Funding - Environmental Trust Major Projects'],['The objective of seed funding is to assist grant applicants to develop a high-quality business plan for a project approved for scoping by the Trust under the Major Projects Program.'],[True],"['Business', 'Local Government', 'Not-for-profit']",['/grants-and-funding/seed-funding-environmental-trust-major-projects'],[True],['grantnoncompetitive'],['up-to'],,[20000],['Environmental Trust'],[{'startDate': '01/12/2024'}],
['Picton Loop Line Upgrade Works Grant'],"['Picton Loop Line Upgrade Project will upgrade track works, track resurfacing, ballasting, level crossing works and geotechnical works between Picton and Colo Vale.']",[True],['Business'],['/grants-and-funding/picton-loop-line-upgrade-works-grant'],[True],['grantnoncompetitive'],['single-figure'],,,,[{'startDate': '12/05/2025'}],
['NSW Active Transport Infrastructure '],"['The Active Transport Infrastructure grants launched in 2023 to build more active transport infrastructure and deliver active transport election commitment projects, which plan, design and construct footpaths, shared paths and cycleways across NSW.']",[True],['Local Government'],['/grants-and-funding/nsw-active-transport-infrastructure'],[True],['grantnoncompetitive'],['range'],[200000],[8000000],,[{'startDate': '04/06/2024'}],
['Regional Roads Fund '],"['This fund was launched in 2023 by the NSW Government to administer identified election commitment projects, which will build new roads and roundabouts, replace or repair old bridges and improve safety at crash blackspots in rural and regional areas.']",[True],['Local Government'],['/grants-and-funding/regional-roads-fund'],[True],['grantnoncompetitive'],['from'],[200000],,,[{'startDate': '19/09/2023'}],
['Develop & Expand Silicosis Research and Patient Support Capabilities'],"['The Asbestos and Dust Diseases Research Institute aim to develop and expand capabilities into prevention, diagnosis and treatment of silica dust diseases and develop a patient support program navigating the health risks associated with silica dust']",[True],['Not-for-profit'],['/grants-and-funding/develop-expand-silicosis-research-and-patient-support-capabilities'],[True],['grantnoncompetitive'],['single-figure'],,,,[{'startDate': '26/06/2024'}],
['Centre for Aboriginal Health Ministerial Approved Grants'],"['The Ministerial Approved Grants (MAG) support Aboriginal Community Controlled Health Organisations to deliver holistic, culturally responsive and tailored health services to Aboriginal people.']",[True],['Not-for-profit'],['/grants-and-funding/centre-for-aboriginal-health-ministerial-approved-grants'],[True],['grantnoncompetitive'],['range'],[213000],[9737700],,[{'startDate': '01/07/2022'}],
['Supporting return to work: EmployAbility'],"['This EmployAbility, return to work grant tests a new approach to support employment and vocational opportunities for individuals with Traumatic Brain Injuries (TBI). This is an ad hoc grant, funded and administered by icare.']",[True],['Not-for-profit'],['/grants-and-funding/supporting-return-to-work-employability'],[True],['grantnoncompetitive'],['up-to'],,[1555229],,[{'startDate': '17/03/2023'}],
['2022-23 Premier’s Discretionary Funding'],['These grants support community-based projects which are identified by the Premier through ongoing community engagement.'],[True],['Business'],['/grants-and-funding/premiers-discretionary-funding/2022-23-premiers-discretionary-funding'],[True],['grantnoncompetitive'],['from'],[1000],,"[""Premier's Discretionary Fund""]",[{'startDate': '01/01/2025'}],['Funding is provided at the discretion of the Premier.']
['Biocontrol Research for Environmental Weed Management - Stage 4'],"['This non-competitive grant supports the ongoing management of high threat weeds in NSW by funding the research, development and release of biocontrol agents.']",[True],['Local Government'],['/grants-and-funding/biocontrol-research-for-environmental-weed-management-stage-4'],[True],['grantnoncompetitive'],['single-figure'],,,['Environmental Trust'],[{'startDate': '17/06/2025'}],
['Multimodal Transport Assessments - Morisset area'],['A comprehensive suite of technical multimodal transport assessments to support the preparation of the Morisset Place Strategy and Integrated Transport Plan for the Morisset area.'],[True],['Local Government'],['/grants-and-funding/multimodal-transport-assessments-morisset-area'],[True],['grantnoncompetitive'],['single-figure'],,,,[{'startDate': '25/06/2025'}],
['University of Wollongong Research Grant'],['A one-off ad hoc grant supports the University of Wollongong to conduct critical hydrogen pipeline safety research.'],[True],['Business'],['/grants-and-funding/university-of-wollongong-research-grant'],[True],['grantnoncompetitive'],['single-figure'],,,,[{'startDate': '27/06/2025'}],
['Southern NSW LHD Ad Hoc Grants'],['These Ad Hoc Grants support non-government organisations to deliver specified health services and projects in the Southern New South Wales Local Health District.'],[True],"['Business', 'Individual', 'Local Government', 'Not-for-profit']",['/grants-and-funding/southern-nsw-lhd-ad-hoc-grants'],[True],['grantnoncompetitive'],['up-to'],,[30000],,[{'startDate': '01/07/2023'}],
['South Eastern Sydney LHD Ad Hoc Grants'],['These ad hoc grants support non-government organisations to deliver specified health services within the South Eastern Sydney Local Health District.'],[True],['Not-for-profit'],['/grants-and-funding/south-eastern-sydney-lhd-ad-hoc-grants'],[True],['grantnoncompetitive'],['from'],[92300],,,[{'startDate': '01/01/2024'}],
['Health and Social Policy Ministerial Approved Grants'],['These Ministerially Approved Grants (MAG) support non-government organisations to deliver specific health services centred around health and social policy.'],[True],['Not-for-profit'],['/grants-and-funding/health-and-social-policy-ministerial-approved-grants'],[True],['grantnoncompetitive'],['from'],[300000],,,[{'startDate': '22/09/2022'}],
['Riverwood Community Centre Grant'],"['This one-off, ad-hoc grant supports the upgrade of the Riverwood Community Centre making sure it continues to serve the growing Riverwood community and surrounding communities across the Canterbury-Bankstown area.']",[True],['Local Government'],['/grants-and-funding/riverwood-community-centre-grant'],[True],['grantnoncompetitive'],['single-figure'],,,,[{'startDate': '01/05/2025'}],
['Sydney Season of Joseph and the Amazing Technicolor Dreamcoat'],"['A grant of up to $2 million is provided to TML by the NSW Government to support the theatrical production, Joseph and the Amazing Technicolor Dreamcoat.\xa0']",[True],['Business'],['/grants-and-funding/sydney-season-of-joseph-and-amazing-technicolor-dreamcoat'],[True],['grantnoncompetitive'],['from'],[2000000],,,[{'startDate': '19/12/2022'}],
['Closing the Gap program'],['This Closing the Gap grant program supports shared decision-making and design with the Aboriginal community as represented by the NSW Coalition of Aboriginal Peak Organisations (CAPO) to improve life outcomes.'],[True],['Not-for-profit'],['/grants-and-funding/closing-gap-program'],[True],['grantnoncompetitive'],['single-figure'],,,,[{'startDate': '23/06/2023'}],
['NSW Rescue Capability Grant'],['These grants support non-government organisations to maintain and enhance their rescue capability to support the NSW community in the event of a hazard or emergency.'],[True],['Not-for-profit'],['/grants-and-funding/nsw-rescue-capability-grant'],[True],['grantnoncompetitive'],['range'],[1000000],[73000000],,[{'startDate': '26/07/2023'}],['Approved on a case-by-case basis']
['Centre for Alcohol and Other Drugs Ministerially Approved Grants'],['Non-government Organisations (NGOs) are contracted by NSW Health to provide deliver alcohol and other drugs services and programs under the Ministerially Approved Grants (MAG) Program. These grants are administered through the Ministry of Health.'],[True],['Not-for-profit'],['/grants-and-funding/centre-for-alcohol-and-other-drugs-ministerially-approved-grants'],[True],['grantnoncompetitive'],['range'],[144400],[14917350],,[{'startDate': '01/07/2024'}],
['Mid North Coast LHD Ministerial Approved Grants '],['These Ministerially Approved Grants (MAG) support non-government organisations to deliver specified health services and projects for the Ministry of Health.'],[True],['Not-for-profit'],['/grants-and-funding/mid-north-coast-lhd-ministerial-approved-grants'],[True],['grantnoncompetitive'],['from'],[25000],,,[{'startDate': '01/09/2022'}],
['Illawarra Shoalhaven LHD Ministerial Approved Grants'],['These Ministerially Approved Grants (MAG) support non-government organisations to deliver specified health services and projects in the Illawarra Shoalhaven Local Health District.'],[True],"['Business', 'Not-for-profit']",['/grants-and-funding/illawarra-shoalhaven-lhd-ministerial-approved-grants'],[True],['grantnoncompetitive'],['from'],[41700],,,[{'startDate': '01/07/2023'}],
['Sydney LHD Ministerial Approved Grants'],['These Ministerially Approved Grants (MAG) support non-government organisations to deliver specified health services and projects in the Sydney Local Health District.'],[True],['Not-for-profit'],['/grants-and-funding/sydney-lhd-ministerial-approved-grants'],[True],['grantnoncompetitive'],['from'],[87000],,,[{'startDate': '01/07/2023'}],
['NSW Ambulance Ad Hoc Grants'],['These grants are offered through a non-competitive process at the discretion of the Minister for Health and Minister for Regional Health.'],[True],['Not-for-profit'],['/grants-and-funding/nsw-ambulance-ad-hoc-grants'],[True],['grantnoncompetitive'],['from'],[1],,,[{'startDate': '31/12/2021'}],"[""Grant amount awarded at Minister's discretion.""]"
['Stolen Generations Organisations Health Care Coordinator Grants '],['Stolen Generations Organisations Health Care Coordinator Grants support the priority health needs of Aboriginal people from the Stolen Generations.'],[True],['Not-for-profit'],['/grants-and-funding/stolen-generations-organisations-health-care-coordinator-grants'],[True],['grantnoncompetitive'],['single-figure'],,,,[{'startDate': '01/07/2023'}],
['Western NSW LHD Ministerial Approved Grants'],['These Ministerially Approved Grants (MAG) support non-government organisations to deliver specified health services and projects in the Western NSW Local Health District.'],[True],['Business'],['/grants-and-funding/western-nsw-lhd-ministerial-approved-grants'],[True],['grantnoncompetitive'],['from'],[25800],,,[{'startDate': '01/07/2022'}],
['NSW Water Safety Communications Grant'],"['The NSW Water Safety Communications grant will test a new water safety campaign in 2024-25. This campaign will share the same safety messages across different water activities, places, and groups of people in NSW.']",[True],['Not-for-profit'],['/grants-and-funding/nsw-water-safety-communications-grant'],[True],['grantnoncompetitive'],['single-figure'],,,,[{'startDate': '24/06/2024'}],
['Mental Health Ad Hoc Grants'],['These ad hoc grants support non-government organisations to deliver mental health services across NSW.'],[True],['Not-for-profit'],['/grants-and-funding/mental-health-ad-hoc-grants'],[True],['grantnoncompetitive'],['from'],[20000],,,[{'startDate': '01/07/2020'}],
['Farmer Mental Health Program'],"['The purpose of the Farmer Mental Health Program Pilot Grant is to trial the integration of mental health coaching within the Rural Financial Counselling Service to improve mental wellbeing outcomes for farmers, their families and farm workers.']",[True],['Not-for-profit'],['/grants-and-funding/farmer-mental-health-program'],[True],['grantnoncompetitive'],['single-figure'],,,,[{'startDate': '08/08/2024'}],
['Volunteer Community Environment Groups and Representatives Support Project'],['This project aims to help people increase their capacity to protect and conserve their local environment by delivering community support and education programs.'],[True],['Not-for-profit'],['/grants-and-funding/volunteer-support'],[True],['grantnoncompetitive'],['single-figure'],,,,[{'startDate': '11/10/2024'}],
['Minister for Education and Early Learning Discretionary Fund'],['This grant supports initiatives aligned with the strategic goals of NSW Education where funding may not be available through other government programs.'],[True],['Individual'],['/grants-and-funding/minister-for-education-and-early-learning-discretionary-fund'],[True],['grantnoncompetitive'],['from'],[1000],,,[{'startDate': '28/10/2024'}],
['Premier’s Department Contingency Fund'],"['The Premier’s Department Contingency Fund supports unanticipated Government commitments for one-off events, programs and initiatives occurring and announced by the Government outside of the Budget process, and which have no ongoing budget impact.']",[True],['Not-for-profit'],['/grants-and-funding/premiers-department-contingency-fund'],[True],['grantnoncompetitive'],['from'],[998],,,[{'startDate': '01/01/2025'}],"[""Grant approval and amount is at the discretion of the Secretary, Premier's Department""]"
['Safe and Secure Water program'],"['The Safe and Secure Water Program addresses key risks to regional water safety and security in NSW to provide safe, secure and sustainable water and wastewater services to regional towns across the state.']",[True],['Local Government'],['/grants-and-funding/safe-and-secure-water-program'],[True],['grantnoncompetitive'],['up-to'],,[100000000],,[{'startDate': '01/01/2019'}],['Grant amount varies per project']
['Parramatta to Sydney Foreshore Link'],['The Parramatta to Sydney Foreshore Link will deliver Sydney’s longest continuous foreshore path for walking and riding. Funding is provided to councils and authorities to design and build active transport infrastructure along the foreshore.'],[True],['Local Government'],['/grants-and-funding/parramatta-to-sydney-foreshore-link'],[True],['grantnoncompetitive'],['range'],[600000],[3000000],,[{'startDate': '01/03/2023'}],
"['Stronger Places, Stronger People']","['Stronger Places, Stronger People\u202fis a community-led, partnership initiative designed to improve the lives of children and their families.']",[True],['Local Government'],['/grants-and-funding/stronger-places-stronger-people'],[True],['grantnoncompetitive'],['from'],[1],,,[{'startDate': '01/07/2025'}],['Funding is awarded to select organisations that have received an SPSP grant from the Australian Government and is based on the specific needs of each project and the community.']
['South Eastern Sydney LHD Ministerial Approved Grants'],['These Ministerially Approved Grants (MAG) support non-government organisations to deliver specified health services and projects in the South Eastern Sydney Local Health District.'],[True],['Not-for-profit'],['/grants-and-funding/south-eastern-sydney-lhd-ministerial-approved-grants'],[True],['grantnoncompetitive'],['from'],[75000],,,[{'startDate': '19/07/2021'}],
['System Performance Support Ad Hoc Grants'],['These ad hoc grants support Collaborative Commissioning (CC) partnerships to deliver specified health services and projects in NSW.'],[True],"['Business', 'Not-for-profit']",['/grants-and-funding/system-performance-support-branch-ad-hoc-grants'],[True],['grantnoncompetitive'],['from'],[532945],,,[{'startDate': '04/03/2024'}],
['Minister for Health Contingency Fund Grants'],"['Program supports health-based projects and initiatives across NSW, including rural and remote NSW, which are identified by the Minister for Health through ongoing community engagement.']",[True],"['Business', 'Not-for-profit']",['/grants-and-funding/minister-for-health-contingency-fund-grants'],[True],['grantnoncompetitive'],['from'],[1],,,[{'startDate': '01/10/2022'}],['Funding is provided at the discretion of the Minister.']
['Northern NSW LHD Ministerial Approved Grants'],['These Ministerially Approved Grants (MAG) support non-government organisations to deliver specified health services and projects in the Northern NSW Local Health District.'],[True],['Not-for-profit'],['/grants-and-funding/northern-nsw-lhd-ministerial-approved-grants'],[True],['grantnoncompetitive'],['from'],[24000],,,[{'startDate': '01/07/2023'}],
['Illawarra Shoalhaven LHD Ad Hoc Grants'],['These ad hoc grants support non-government organisations to deliver specified health services and projects in the Illawarra Shoalhaven Local Health District.'],[True],"['Business', 'Not-for-profit']",['/grants-and-funding/illawarra-shoalhaven-lhd-ad-hoc-grants'],[True],['grantnoncompetitive'],['from'],[30000],,,[{'startDate': '06/03/2024'}],
['Health and Social Policy Ad Hoc Grants'],['These ad hoc grants funded through NSW Health support specific health services centred around health and social policy.'],[True],['Not-for-profit'],['/grants-and-funding/health-and-social-policy-ad-hoc-grants'],[True],['grantnoncompetitive'],['from'],[63200],,,[{'startDate': '01/07/2024'}],
['NSW Space+ Program'],['This grant supports the NSW Node of the SmartSat CRC to deliver the NSW Space+ Program for businesses to commercialise and showcase their world-leading capabilities at the International Astronautical Congress (IAC) in 2025.'],[True],['Business'],['/grants-and-funding/nsw-space-plus-program'],[True],['grantnoncompetitive'],['single-figure'],,,,[{'startDate': '26/06/2024'}],
['Wakefield Park Raceway Grant'],"['This one-off, ad-hoc grant supports noise mitigation works at the Wakefield Park Raceway (One Raceway) to enable the Raceway to re-open.']",[True],['Business'],['/grants-and-funding/wakefield-park-raceway-grant'],[True],['grantnoncompetitive'],['up-to'],,[1000000],,[{'startDate': '01/06/2023'}],
['Strategic Program Grant'],['Strategic Program Grants fund research and activities that support the strategic priorities of the NSW Cancer Plan.'],[True],"['Business', 'Not-for-profit']",['/grants-and-funding/strategic-program-grant'],[True],['grantnoncompetitive'],['up-to'],,[380000],['Cancer Institute NSW Grants'],[{'startDate': '01/05/2024'}],
['Mental Health Ministerial Approved Grants'],['These Ministerially Approved Grants (MAG) support non-government organisations to deliver specific health services centred around mental health policy.'],[True],['Not-for-profit'],['/grants-and-funding/mental-health-ministerial-approved-grants'],[True],['grantnoncompetitive'],['from'],[300000],,,[{'startDate': '01/07/2023'}],
['South Western Sydney LHD Ministerial Approved Grants'],['These Ministerial Approved Grants (MAG) support non-government organisations to deliver specified health services and projects in the South Western Sydney Local Health District.'],[True],['Not-for-profit'],['/grants-and-funding/south-western-sydney-lhd-ministerial-approved-grants'],[True],['grantnoncompetitive'],['from'],[60700],,,[{'startDate': '27/09/2024'}],
"[""Support for Australian Children's Television Foundation""]","['To support and distribute high-quality screen content that educates, entertains, and enriches the lives of Australian children.']",[True],['Not-for-profit'],['/grants-and-funding/support-for-australian-childrens-television-foundation'],[True],['grantnoncompetitive'],['single-figure'],,,,[{'startDate': '17/02/2025'}],
['Minister for Veterans Discretionary Fund'],['Small-scale grants provided to support community-based projects.'],[True],"['Individual', 'Local Government', 'Not-for-profit']",['/grants-and-funding/minister-for-veterans-discretionary-fund'],[True],['grantnoncompetitive'],['from'],[100],,,[{'startDate': '01/07/2023'}],['Funding is provided at the discretion of the Minister for Veterans.']
['Local Small Commitments Allocation '],"['This grant will provide funding for small local projects that benefit and enhance community wellbeing. Grants up to the value of $400,000 are available in each of the 93 NSW electorates.']",[True],"['Local Government', 'Not-for-profit']",['/grants-and-funding/local-small-commitments-allocation'],[True],['grantnoncompetitive'],['single-figure'],,,,[{'startDate': '31/07/2024'}],
['Specialist perinatal psychosocial support to women leaving prison'],['Funding to provide psychosocial support for perinatal women before their release from prison and as they resettle into the community.'],[True],['Not-for-profit'],['/grants-and-funding/perinatal-psychosocial-support-to-women-leaving-prison'],[True],['grantnoncompetitive'],['single-figure'],,,,[{'startDate': '20/12/2023'}],
['Destination NSW Discretionary Fund'],['These grants are offered through a non-competitive process at the discretion of the Minister for Jobs and Tourism.'],[True],"['Business', 'Local Government', 'Not-for-profit']",['/grants-and-funding/destination-nsw-discretionary-fund'],[True],['grantnoncompetitive'],['up-to'],,[300000],,[{'startDate': '01/07/2025'}],['Grant amount awarded at Minister’s discretion']
['Roads to Home Program'],['Roads to Home Program is a community led planning and infrastructure program addressing longstanding access inequality experienced by 61 discrete Aboriginal communities across NSW.'],[True],['Not-for-profit'],['/grants-and-funding/roads-to-home'],[True],['grantnoncompetitive'],['single-figure'],,,,[{'startDate': '01/07/2019'}],
"[""Women's Health Services - Wagga Women's Health Centre""]",['This grant funds the delivery of health services for women in Wagga Wagga and surrounding regions. These funds will help people with complex health or social needs access comprehensive and trauma-sensitive care.'],[True],"['Business', 'Not-for-profit']",['/grants-and-funding/wagga-womens-health-services'],[True],['grantnoncompetitive'],['single-figure'],,,,[{'startDate': '01/07/2023'}],
['Central Coast LHD Ministerial Approved Grants'],['These Ministerially Approved Grants (MAG) support non-government organisations to deliver specified health services and projects in the Central Coast Local Health District.'],[True],"['Business', 'Not-for-profit']",['/grants-and-funding/central-coast-lhd-ministerial-approved-grants'],[True],['grantnoncompetitive'],['from'],[84600],,,[{'startDate': '01/07/2021'}],
['2021-22 Premier’s Discretionary Funding'],['These grants support community-based projects which are identified by the Premier through ongoing community engagement.'],[True],['Business'],['/grants-and-funding/premiers-discretionary-funding/2021-22-premiers-discretionary-funding'],[True],['grantnoncompetitive'],['from'],[1000],,"[""Premier's Discretionary Fund""]",[{'startDate': '01/02/2025'}],['Funding is provided at the discretion of the Premier.']
['Support for Professional Teachers Associations'],['To support the work of professional teacher associations across all sectors and systems in NSW schools.'],[True],['Not-for-profit'],['/grants-and-funding/support-for-professional-teachers-associations'],[True],['grantnoncompetitive'],['single-figure'],,,,[{'startDate': '02/07/2024'}],
['POCTAA Enforcement Grant FY2025/26'],['This grant will promote animal welfare and prevent animal cruelty by contributing towards the ACOs activities that seek to reduce breaches of animal welfare laws and take effective action when these laws are broken.'],[False],['Not-for-profit'],['/grants-and-funding/poctaa-enforcement-grant-fy2025/26'],[True],['grantnoncompetitive'],['single-figure'],,,,"[{'startDate': '18/08/2025', 'endDate': '05/09/2025'}]",
['MGNSW Project Development - Volunteer Museums 2025'],['The Volunteer Museum Grant Program provides assistance to volunteer-initiated community museums and Aboriginal cultural spaces with collections and displays in NSW. Please contact Museum Coordinator for application form - (02) 56632338.'],[False],['Not-for-profit'],['/grants-and-funding/mgnsw-project-development-volunteer-museums-2025'],[True],['grantnoncompetitive'],['range'],[2500],[7500],,"[{'startDate': '14/07/2025', 'endDate': '08/09/2025'}]",
['MGNSW Small Grant Round 2 - Volunteer Museums 2025'],['The Volunteer Museum Grant Program provides assistance to volunteer-initiated community museums and Aboriginal cultural spaces with collections and displays in NSW. Please contact Museum Coordinator for application form - (02) 56632338.'],[False],['Not-for-profit'],['/grants-and-funding/mgnsw-small-grant-round-2-volunteer-museums-2025'],[True],['grantnoncompetitive'],['range'],[250],[2000],,"[{'startDate': '14/07/2025', 'endDate': '08/09/2025'}]",
