GO ID:,FO Reference:,Primary Category:,Secondary Category:,Addenda Available:,Close Date & Time:,Selection Process:,Publish Date:,Other Instructions:,Estimated Grant Value (AUD):,Location:,Eligibility:,Description:,Grant Activity Timeframe:,Co-sponsored with:,Agency:,Internal Reference ID:,Instructions for Application Submission:,Total Amount Available (AUD):
GO7237,,121003 - Humanities,251001 - Indigenous Arts and Culture,,30-Jun-2026 11:30 pm (ACT Local Time) Show close time for other time zones,Closed Non-Competitive,14-Oct-24,,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS","To be eligible for an IVAIS grant, your organisation must be one of the following entity types: an Aboriginal and/or Torres Strait Islander Corporation registered under the Corporations (Aboriginal and Torres Strait Islander) Act 2006 an entity established through specific Commonwealth or State or Territory legislation a company incorporated in Australia a company limited by guarantee an incorporated association a publicly funded research organisation state, territory or local government body and have an Australian Business Number (ABN) be registered for the Goods and Services Tax, if required by the Australian Taxation Office have no overdue acquittals or serious breaches relating to Australian Government funding. A serious breach is one that has resulted in, or warrants, the termination of a grant agreement.","Funding will be provided to organisations for activities that best contribute to delivery of the following Program outcomes: a professional, viable and ethical Indigenous visual arts industry that features strong participation by, and provides economic opportunities for, Aboriginal and Torres Strait Islander people the continued production, exhibition, critique, purchase and collection of Indigenous visual art.",Activities commencing after 1 July 2025.,,"Department of Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",,This is a non-application based process. The eligible organisation does not need to submit an application for this grant opportunity.,
GO5214,,251002 - Indigenous Communities,251004 - Indigenous Employment and Business,View Addenda,30-Jun-2026 11:30 pm (ACT Local Time) Show close time for other time zones,Open Non-competitive,11-Nov-21,A link to the application form can be found on the NIAA Website .,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",To be eligible to apply for funding under the PBC Capacity Building grant opportunity you must meet the eligibility requirements set out in Section 4 of the Grant Opportunity Guidelines,"Prescribed Bodies Corporate (PBC) Capacity Building Grant Funding is available to support PBCs to maximise the economic and social potential of native title through the effective and sustainable management of their land. The objectives of the PBC Capacity Building Grant are to: 1.     Increase the capacity of PBCs to take advantage of economic opportunities 2.     Build long-term organisational capacity within PBCs through training and obtaining professional expertise 3.     Support effective native title agreement-making The outcomes of the PBC Capacity Building Grant are to: ·          Build capacity of PBCs to maximise the social, cultural and economic aspirations of their native title holding group Build capacity of PBCs to meet corporate compliance and native title obligations, and promote greater efficiency in land use decision-making",,,National Indigenous Australians Agency,Prescribed Bodies Corporate (PBC) Capacity Building Grant Opportunity,"Applicants must complete an application form. Proposed activities must be discussed with the local NIAA Regional Office before lodging an application. Contact the Regional Office in your area, details can be found at Regional Network Addresses","$54,000,000.00"
GO7044,,251002 - Indigenous Communities,,View Addenda,30-Jun-2026 11:30 pm (ACT Local Time) Show close time for other time zones,Demand Driven,1-Jul-24,,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS","The Australian Government has determined that, to be eligible for the Resolution Payment, a person must have either: held a Youpla Group policy that was active on or after 1 August 2015, or been awarded a determination by the Australian Financial Complaints Authority (AFCA) in their favour against the Youpla Group, and this determination remains unpaid.","This grant opportunity is part of the Youpla Support Program, which was announced by the Australian Government on 8 February 2024 as its enduring resolution for people impacted by the collapse of the funeral insurance provider, the Youpla Group. The Youpla Group (formerly the Aboriginal Community Benefits Fund) was a funeral expenses insurer that primarily marketed its products to First Nations people. The Youpla Group entered liquidation in March 2022, leaving many people without cover, inflicting significant cultural, emotional and financial harm on many First Nations people and communities. The Youpla Support Program will provide a Resolution Payment to Eligible Persons to help them recover from this harm. Subject to the exclusions set out in the Youpla Support Program Guidelines an Eligible Person will be offered as a Funeral Bond (delivered as a procurement) as the default option with the right to opt out and receive a Cash Payment (delivered as a grant). The Funeral Bond will be procured by NIAA on behalf of the Eligible Person. The Cash Payment will be made to the Eligible Person as a grant under the Youpla Support Guidelines.",,,National Indigenous Australians Agency,,Services Australia will process the Resolution Payments through a customer-assisted process involving inbound and/or outbound contact. Please refer to Section 7 of the Grant Opportunity Guidelines.,
GO7754,,251001 - Indigenous Arts and Culture,121003 - Humanities,,30-Jun-2026 11:30 pm (ACT Local Time) Show close time for other time zones,Targeted or Restricted Competitive,1-Jul-25,,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Participation in a Targeted Competitive Grant Opportunity to deliver a Strategic Project can only happen as a result of receiving an invitation to submit a grant application from the ILA Program.,"The ILA Program supports Aboriginal and Torres Strait Islanders to express, conserve and maintain their cultures through Indigenous languages and arts activities. Grant funding allocated through the ILA Program supports activities that: Conserve, revitalise and sustain Indigenous languages by: Supporting the use of spoken language in everyday life by facilitating language transmission and practise in a range of contexts through culturally appropriate learning and teaching activities. Supporting community members to improve their language knowledge and skills and build capacity in the sector by providing language learning and teaching pathways that include opportunities to gain formal qualifications in learning and teaching an Indigenous language. Recording, conserving and making available Indigenous languages using digital technology in an innovative and culturally appropriate way. Facilitating the use of Indigenous languages in everyday life by producing and providing access to language materials used in activities that facilitate the transmission of language, enabling community to enjoy, learn, use and teach their languages. Create, promote and celebrate Indigenous community-based arts activities by: Developing, producing, presenting, exhibiting or performing a diverse range of traditional and contemporary Indigenous art forms which could include dance, theatre, film, literature, music and traditional Indigenous arts and crafts. Promoting and celebrating Indigenous art forms and providing access to arts activities that enable community to enjoy, connect and take pride in their cultures.",The grant can commence once you have entered into a grant agreement with the Commonwealth for this purpose.,,"Department of Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",,"If your organisation receives an invitation to submit a grant application, the ILA Program will provide a link to the application portal.",
GO7215,,131001 - Child Care,,View Addenda,30-Sep-2026 5:00 pm (ACT Local Time) Show close time for other time zones,Demand Driven,1-Oct-24,,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",As detailed in the Grant Opportunity Guidelines and Application,Funding to support a wage increase for all eligible ECEC workers,2 December 2024 to 30 November 2026,,Department of Education,,"You will need to complete the Application Form and address all of the eligibility criteria to be considered for a grant. The Grant Application form is open from 8 October 2024 to 30 September 2026. Following electronic submission, you will receive an automatic reply.",
GO7562,,211010 - Water Resources,,View Addenda,16-Apr-2027 9:00 pm (ACT Local Time) Show close time for other time zones,Open Non-competitive,4-Mar-25,Please use: CEWH Environmental Activities Grant - Grant Opportunity Guidelines - version 2 CEWH Environmental Activities Grant - Questions and Answers - version 2,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS","To be eligible, you must have your project proposal approved by the CEWH and have received a letter of acceptance, including a unique identification code, with an invitation to apply through GrantConnect.","Under the Water Act 2007 (Cth) the Commonwealth Environmental Water Holder (CEWH) can sell annual water allocations (temporary water). The proceeds of these sales can be used to fund environmental activities, which must be consistent with the CEWH Environmental Activities Framework (CEAF). This grant opportunity enables the CEWH to provide funding for environmental activities that help to improve the efficiency and effectiveness of environmental water delivery in the Murray-Darling Basin. There are a range of projects that could be considered environmental activities, such as: infrastructure upgrades that improve the efficiency of environmental water delivery projects that help restore and protect native flora and fauna populations and habitat research that improves scientific and cultural knowledge to help inform the delivery of environmental water projects that incorporate Traditional Owners knowledge into environmental watering planning, that will produce both environmental and cultural outcomes. The CEWH encourages projects: that contribute to the achievement of the ecological outcomes sought under the Basin Plan, including the protection and restoration of populations of threatened and migratory species and internationally significant wetlands. that have strong linkages to First Nations communities and have environmental and cultural value, and lead to greater participation of First Nations in the management of the Commonwealth environmental water holdings and ensure Traditional Owner knowledge of land and water management can be realised. in areas where projects have not been implemented to date is encouraged. Proposals for projects in all basin valleys where the CEWH holds a water entitlement are eligible to be received and considered for funding. that are 'shovel ready' with a short completion timeframe. with co-funding and/or in-kind contributions.",Review of applications - Within 2 weeks from application submitted Approval of outcomes of selection process - Within 4 weeks from application submitted Notification to applicants - Within 5 weeks from application submitted Negotiations and award of grant agreements - Within 16 weeks from application submitted Earliest start date of environmental activity/grant agreement - Within 18 weeks from application submitted,,"Department of Climate Change, Energy, the Environment and Water",2024-3862,"To apply, you must: complete the online application form on GrantConnect provide all the information requested address all eligibility criteria include all necessary attachments submit your application/s to the Community Grants Hub by 9:00 pm AEST on 16 April 2027.",
GO7393,P4633,101001 - Aged Care,,View Addenda,30-Apr-2027 2:00 pm (ACT Local Time) Show close time for other time zones,Closed Non-Competitive,19-Dec-24,,"From $25,000.00 to $250,000.00","ACT, NSW, VIC, SA, WA, QLD, NT, TAS","Organisations eligible for the grant will be invited to apply after the department has identified a critical or urgent need for CHSP service providers (or eligible non-CHSP providers) to address unforeseen and exceptional circumstances affecting service delivery. To be eligible, providers must meet one of the below criteria and have received an invitation to apply from the department. Eligibility criteria for invited providers: Category 1: Emergency (for one-off funding) You must be an existing CHSP provider who has an executed Whole of Government grant agreement with the Commonwealth to deliver CHSP services that is due to expire on 30 June 2025 (or on 30 June 2027). Category 2: Critical need – provider viability (for recurrent funding) Be an existing CHSP provider who has an executed Whole of Government grant agreement with the Commonwealth to deliver CHSP services that is due to expire on 30 June 2025 (or on 30 June 2027). Category 3: Service shortages – provider relinquishments (for recurrent funding to address service gaps) Non-CHSP provider invited to apply by the department must be existing Commonwealth funded providers as listed below: An approved provider of Residential Aged Care and/or Home Care Packages funded by the Department of Health and Aged Care. A registered Department of Veterans’ Affairs (DVA) provider. A registered National Disability Insurance Scheme (NDIS) provider. An Aboriginal Community Controlled Health Organisation.","The CHSP Emergency and Critical Need grant opportunity (grant) will run from 19 December 2024 until 30 April 2027. This grant is to assist CHSP providers with financial support to respond to unforeseen and exceptional circumstances. This could include (but is not limited to) one-off funding for emergencies such as: natural disasters; current World Health Organisation declared pandemics; vital equipment failure; increased transport costs due to sudden fuel price changes, and recurrent funding for critical need due to viability concerns or service shortages related to the impact of CHSP provider withdrawals on CHSP service availability and client continuity of care. The funding categories are detailed in the Grant Opportunity Guidelines. All applications for funding will be managed by Invite Only (with application). The department will send the appropriate application forms with invitations to apply. The department advises that this grant is not to address services demand or expansion. Unsolicited applications will not be considered for funding under this grant. Up to $20 million is available over the 2024-27 grant period under this grant. The minimum grant amount is $25,000.00 (GST exclusive). The maximum grant amount is $250,000.00 (GST exclusive) for ongoing funding, however funding amounts outside these limits for emergency and viability/service shortages applications can be considered by the Department. To view the grant opportunity documents, please select the red "" Grant Opportunity Documents "" button on the left-hand side. Note : Please refer to the most recent version of the grant opportunity guidelines and fact sheet (Version 3) published 27 March 2025.",,,"Department of Health, Disability and Ageing",P4633,"Application forms will be emailed to applicants who are invited to apply. Submit the completed application form and all necessary attachments by the closing date and time to the email address advised with your invitation to apply. You should keep a copy of your application and any supporting documents. Registered users will receive an email notification acknowledging the receipt of the submission. If you do not receive an email notification within 24 hours of submission, please contact the department via the email address advised to you with your invitation to apply.","$20,000,000.00"
GO7036,,351003 - Transport,,,31-May-2027 5:00 pm (ACT Local Time) Show close time for other time zones,Demand Driven,22-Aug-24,"business.gov.au provides information and advice to customers via a range of channels including phone (13 28 46), email and web chat. Contact us for assistance.","From $0.00 to $5,000.00","ACT, NSW, VIC, SA, WA, QLD, NT, TAS, Administered Territories","To apply you must: be the registered owner of a crewed aircraft operating under Visual Flight Rules (VFR) or Instrument Flight Rules (IFR) and shown in an approved registration database including: the CASA Australian aircraft register for VH aircraft (e.g. fixed wing, helicopter, balloon, glider) registration database managed by CASA an approved Australian Sport Aviation organisation: Recreational Aviation Australia (RAAus) Australian Sport Rotorcraft Association (ASRA) Sports Aviation Federation of Australia (SAFA). purchase and/or install in your registered aircraft: a device which provides ADS-B-OUT functionality or an ADS-B EC device but not both, after 20 December 2021, or a device which provides ADS-B-IN functionality or a device which provides ADS-B-IN and OUT functionality, after 31 May 2024. If a grant was paid in respect of your aircraft under ADS-B Round 1 you are eligible to apply under the following conditions: the equipment adds ADS-B IN functionality that was not previously available, or you are upgrading from an EC device to installed equipment. Further information on eligibility can be found in the grant opportunity guidelines.",The objective of the Program is to incentivise voluntary uptake of ADS-B equipment in Australian-registered aircraft operating under Visual Flight Rules (VFR) and Instrument Flight Rules (IFR) to improve safety and efficiency for Australian airspace users. The program will provide: better situational awareness for pilots through improved electronic visibility of nearby airborne VFR and IFR aircraft enhanced search and rescue capabilities through improved air traffic information air traffic controllers with additional and accurate automated aircraft position information of VFR aircraft. The Program funds two classes of eligible ADS-B equipment: installed ADS-B equipment that air traffic controllers can use for aircraft separation purposes (referred to as ADS-B) portable ADS-B equipment for local electronic traffic information purposes (referred to as ADS-B EC).,,,"Department of Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",,"To apply, go to: business.gov.au/ADSB2","$8,400,000.00"
GO6356,,251005 - Indigenous Health,,,30-Jun-2027 2:00 pm (ACT Local Time) Show close time for other time zones,Closed Non-Competitive,30-Oct-23,"Applicant/s should follow the below instructions to upload their application: Filename(s) do not exceed 100 characters Any file type can be submitted to GrantConnect Refrain from using special characters. These include, but are not limited to, colon, forward and back slash, question marks, en and em dash A maximum of five (5) separate files can be submitted at one time, and Do not include macros or password protect applications or attachments.",,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS","We cannot consider your application if you do not satisfy all the eligibility criteria. To be eligible to apply you must have received an invitation to apply from the Department. Please note that an automated notification email from GrantConnect advising you of a new grant opportunity is not an invitation to apply for this grant opportunity. To be eligible you must be: invited by the Department of Health and Aged Care to apply, and currently funded under the IAHP. The eligible organisation/s are invited to apply for this grant opportunity as they will have been assessed as: experiencing an urgent and unforeseen or emergency circumstance that is beyond the capacity of the organisation to address through existing funding having identified a risk that may have a significant impact on an area of service delivery and requires urgent implementation of a risk mitigation/safety strategy having the capability to deliver the project activities in the project location having existing infrastructure, administration and/or relationships to support the project activities, and having the knowledge of and capability to deliver to the project objectives and outcomes. Organisation/s are invited to apply for this grant opportunity due to an urgent, unforeseen or emergency circumstance that has occurred at the organisation/s or in the surrounding community.","The primary purpose of this grant opportunity is to provide emergency funding in response to urgent or unforeseen issues that may arise for IAHP funded organisations. This funding is one-off and/or time limited and is not for projects that require ongoing funding. Appropriate activities may include any activities required to ensure that Aboriginal and Torres Strait Islander people in the organisation’s region continue to receive the services that best meet their health needs. Approved activities could include: the purchase of necessary equipment to ensure continuity of service delivery in emergency situations; targeted funding to respond to emergency physical, social and/or emotional health needs; and/or the purchase, repair or installation of equipment or infrastructure due to natural disaster or incident. The objectives of the grant opportunity are: to ensure continuity of primary health care services provided by IAHP funded organisations in unforeseen circumstances, and to address the need for equipment purchase and repair in emergency situations (including temporary building structures such as a demountable). The intended outcome of the grant opportunity is to support IAHP funded organisations to deliver effective high quality comprehensive culturally appropriate primary health care services in the event of an emergency situation. This grant opportunity is by invitation only. You must have received an invitation to apply from the Department. To view the grant opportunity documents, please select the red Grant Opportunity Documents button on the left hand side.",,,"Department of Health, Disability and Ageing",P4824,"Submit the completed application form and all necessary attachments by the closing date and time via the red Submit Application button on the left-hand side. You should keep a copy of your application and any supporting documents. Registered users will receive an automated email notification acknowledging the receipt of the submission. If you do not receive an automated email notification within 48 hours of submission, please email Grant.ATM@health.gov.au For technical assistance when submitting your application through GrantConnect please contact the GrantConnect Helpdesk: Phone: 1300 484 145 Email: GrantConnect@finance.gov.au","$20,000,000.00"
GO6270,,121003 - Humanities,,,30-Jun-2027 5:00 pm (ACT Local Time) Show close time for other time zones,Closed Non-Competitive,19-May-23,,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS","Only the three grantees are eligible to receive Distributed National Collections Program grants, with each delivering a sub-program. Due to the specialised nature of the Distributed National Collections Program, this grant opportunity was established as a closed, non?competitive process by Ministerial decision. This is appropriate due to the specialised expertise that the National Library of Australia and the Australian National Maritime Museum hold within their institutions, and that the Bursary Program assists cultural heritage sector delegates to attend the annual Australian Museums and Galleries Association National Conference and/or the Regional, Remote and Community Day.","The Distributed National Collections Program is directed at the identification, development, conservation, maintenance and display of collections of nationally significant artistic or cultural material. The training, professional development, partnering and networking, collection support and management activities supported by the Distributed National Collections Program are intended to assist in achieving this core aim. These activities support the strengthening of best practice in the museums and galleries sector. Grants are provided to the National Library of Australia to administer the Community Heritage Grants Program; to the Australian National Maritime Museum to administer the Maritime Museums of Australia Project Support Scheme; and to the Australian Museums and Galleries Association (AMaGA) to administer AMaGA’s National Conference Bursaries Program. The objectives of the Distributed National Collections Program are achieved by: assisting not-for-profit, incorporated organisations to identify, collect, develop, conserve, preserve, maintain and display objects or collections of nationally-significant artistic or cultural material.",2022/23-2025/26 – The DNC Program is administered via four-year funding agreements with each Grantee.,,"Department of Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",DNC,The application form link will be provided to the eligible organisations listed above.,"$2,468,000.00"
GO6559,,181000 - Disaster Relief,,,30-Jun-2027 5:00 pm (ACT Local Time) Show close time for other time zones,Demand Driven,27-Oct-23,"A claim will be assessed by Services Australia against the qualification criteria and claimants will be notified in writing if their claim has been granted or rejected. Where requested, a claimant may need to provide evidence of meeting the eligibility criteria for the payment. Services Australia makes every effort to process the claim as quickly as possible. Depending on individual circumstances, payments can be released in real time to the claimant’s Australian bank account.",,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",In accordance with the eligibility criteria outlined in the Program Guidelines.,"The objective of the grant is to provide payments to New Zealand non-protected Special Category (subclass 444) visa holders who have been adversely affected by a major disaster, consistent with the Australian Government Disaster Recovery Payment (AGDRP). NZDRP grants will be administered by Services Australia on behalf of NEMA. The NZDRP grant program will run over 4 years from 1 July 2023 to 30 June 2027.",,,National Emergency Management Agency,,Information available at: Natural disaster support - Natural disaster - Services Australia,
GO6558,,181000 - Disaster Relief,,,30-Jun-2027 5:00 pm (ACT Local Time) Show close time for other time zones,Demand Driven,27-Oct-23,"A claim will be assessed by Services Australia against the qualification criteria and claimants will be notified in writing if their claim has been granted or rejected. Where requested, a claimant may need to provide evidence of meeting the eligibility criteria for the payment. Services Australia makes every effort to process the claim as quickly as possible. Depending on individual circumstances, payments can be released in real time to the claimant's Australian bank account.",,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",In accordance with the eligibility criteria outlined in the Program Guidelines.,"The objective of the grant is to provide payments to New Zealand non-protected Special Category (subclass 444) visa holders who have lost income as a direct result of a major disaster, consistent with the Disaster Recovery Allowance (DRA). This grant will be administered by Services Australia on behalf of NEMA. The NZ DRA grant program will run over 4 years from 1 July 2023 to 30 June 2027.",,,National Emergency Management Agency,,Information available at: Natural disaster support - Natural disaster - Services Australia,
GO5658,,251003 - Indigenous Education,,View Addenda,30-Jun-2027 9:00 pm (ACT Local Time) Show close time for other time zones,Closed Non-Competitive,17-Jun-22,"Please note: The closing date has been extended to 30 June 2027, please use the following updated grant opportunity document Community Child Care Fund - Grant Opportunity Guidelines - version 7",,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS","To be eligible to apply for a grant, a provider must be one of the organisations identified through the community consultation process and have been invited to apply by the department.","The Australian Government has announced a package of early childhood measures as part of the Australian Government’s commitment to achieving Closing the Gap targets . The department will be working in partnership with Aboriginal and Torres Strait Islander peak bodies, communities and services to expand the CCCFR program. The funding announced to expand the CCCFR program will include the establishment of up to 20 new early childhood education and care (ECEC) services in mainly remote communities. Additional funding of $29.9 million over 4 years has been allocated for this expansion, on top of approximately $55 million per annum expended in the existing CCCFR program. Identification of new CCCFR sites will be informed by data on service gaps and in consultation with peak bodies, State and Territory governments and other key Aboriginal and Torres Strait Islander stakeholders. The expanded program aims to support eligible ECEC services build capacity and operate sustainably under the childcare system and increase participation by Aboriginal and Torres Strait Islander children in culturally appropriate ECEC. Funding allocation will be determined through a select grant application process which commenced in 2022.",Assessment of applications – Commencing following grant application submission date Approval of outcomes of selection process – 4 weeks from date of assessment of applications Negotiations and award of grant agreements – 1 to 3 weeks from date of approval of outcomes Notification to unsuccessful applicants – 2 weeks from date of approval of outcomes Earliest start date of grant activity – Subject to individual grant agreement End date of grant activity or agreement – Subject to individual agreements.,,Department of Education,2021-6707,By invitation only.,
GO7372,,211002 - Climate Change,321002 - Technology,View Addenda,30-Apr-2028 5:00 pm (ACT Local Time) Show close time for other time zones,Demand Driven,24-Dec-24,"business.gov.au provides information and advice to customers via a range of channels including phone (13 28 46), email and web chat. Contact us for assistance.","From $2,000.00 to $20,000.00","ACT, NSW, VIC, SA, WA, QLD, NT, TAS, Administered Territories","You can apply if you: have an Australian business number (ABN) have an account with an Australian financial institution are an entity, incorporated in Australia. You must also be one of the following: a licenced motor dealer/trader a service centre associated with a licenced motor dealer/trader an automotive repair business, compliant with Australian Standards 5732:202 2 (EV operations – maintenance and repair) and which has at least one current member of staff suitably qualified to undertake work on EVs. You can’t apply if you are: any organisation not included in eligible entities listed above a business operating out of a residential premises an organisation, or your project partner is an organisation, included on the National Redress Scheme’s list of Institutions that have not joined or signified their intent to join the Scheme . To be eligible for a rebate, you must have purchased and installed at least one eligible smart EV charger(s) at an eligible site (listed in section 4.2 of the grant opportunity Guidelines) on or after 26 March 2024. Eligible smart EV chargers include: AC plugs with 7 kW charging speed (single phase) AC plugs with 11-22 kW charging speed DC plugs with 50 kW or less charging speed.","The DRIVEN Charger Rebate Stream grant opportunity will provide $40 million for EV chargers to car dealerships and EV repairers. The objective of the grant opportunity is to provide co-funding for dealerships and EV repairers to install EV chargers. The intended outcomes of the grant opportunity are to: increase in the number of EV charging stations throughout the country including remote and regional areas increase the number of EVs on the roads. This grant opportunity forms part of the DRIVEN Program. The DRIVEN program will run over 4 years from 2024-25 to 2027-28. The program was announced as part of the Driving the Nation Fund. The Australian Government will provide $60 million to co-fund the installation of Electric Vehicle (EV) charging infrastructure at Australian automotive dealerships and EV repairers across the country, including regional and remote areas. The objectives of the program are to support automotive businesses selling passenger and light commercial vehicles and their role in decarbonising the transport sector through: selling and repairing a higher proportion of EVs in response to the New Vehicle Efficiency Standard Act 2024 (Cth), and increasing awareness and knowledge of EVs and EV charging technologies for staff and customers. Additionally, the objective is to support the automotive sector by: distributing appropriate funding to as many eligible businesses as possible, and supporting the timely deployment of charging solutions to meet the immediate needs of the sector. The intended outcomes of the program are: a supported Australian automotive sector as it transitions to selling and repairing more EVs increased uptake of EVs, including regional and remote areas by providing more EV charging stations reduced transport emissions to assist in achieving Australia’s economy-wide net zero emissions target by 2050. Learn more about the policy that supports the DRIVEN Program .",,,"Department of Climate Change, Energy, the Environment and Water",,"Applications open 22 January 2025. To apply, go to: www.business.gov.au/DRIVEN-charger-rebate-stream","$40,000,000.00"
GO7531,,131002 - Education Support,,,30-Jun-2028 5:00 pm (ACT Local Time) Show close time for other time zones,Closed Non-Competitive,6-Feb-25,,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS","As per the Guidelines, by submission - restricted process.",National Collaborative Research Infrastructure Strategy 2025 Guidelines (2024-25 to 2027-28 only),2024-25 to 2027-28,,Department of Education,,"Please send your completed Application Form to: Following electronic submission, you will receive an automatic reply. If you are unable to complete or lodge your application electronically, you can send your hard copy application by registered mail to: Department of Education C50MA5 GPO Box 9880 Canberra ACT 2601","$435,000,000.00"
GO4149,,361002 - Defence,,View Addenda,30-Jun-2028 5:00 pm (ACT Local Time) Show close time for other time zones,Demand Driven,9-Dec-20,"business.gov.au provides information and advice to businesses via a range of channels including phone (13 28 46), email and web chat. Contact us for assistance.","From $50,000.00 to $250,000.00","ACT, NSW, VIC, SA, WA, QLD, NT, TAS, Administered Territories","To be eligible you must: be an Assigned-Product Support Provider (A-PSP) developing and/or implementing a Depot Maintenance Activation Plan (DMAP) have an Australian business number (ABN) be registered for the Goods and Services Tax (GST) You must be one of the following entities: an entity, incorporated in Australia an incorporated trustee on behalf of a trust You must be able to provide: a congressional letter from the United States Department of Defense awarding your part number assignment and/or repair technology group evidence from your board (or Chief Executive Officer or equivalent if there is no board) that the project is supported, and that you can complete the project and meet the costs of the project not covered by grant funding an Accountant Declaration that confirms you can fund your share of the project costs.",This grant opportunity is to support Assigned-Product Support Providers (A-PSPs) to develop and implement their approved Depot Maintenance Activation Plan (DMAP). Through their plan they'll become a Qualified F-35 Component Depot Source of Repair (DSOR) for maintenance and repair activities for existing components used in the Joint Strike Fighter (JSF).,,,Department of Defence,,To apply go to www.business.gov.au/JSFISP,"$60,000,000.00"
GO7623,,351002 - Regional Development,,View Addenda,30-Jun-2028 11:30 pm (ACT Local Time) Show close time for other time zones,Closed Non-Competitive,14-Mar-25,,"From $1,500,000.00 to $1,900,000.00",Overseas,"The Cook Islands Government is the sole entity eligible to apply for the grant. This eligibility criteria recognises CIG as the signing partner to the Cook Islands Australia ‘Oa Tumanava Partnership and the governing authority of the Cook Islands. Further details on the assessment criteria are in Section 6 of the Partnership Program Grant Guidelines. Organisations are not eligible to apply for this grant opportunity if they have not received an invitation to apply and are not listed as an eligible invited organisation.?No other organisations, except the Cook Islands Government, will be invited/or be eligible to apply.","The Australia Cook Islands Partnership Program (the Partnership Program) will provide funding of  AUD $7.6 million over four years from 2024-25 to 2027-28, to the Cook Islands Government (CIG). The Partnership Program will broaden, and strategically enhance, current bilateral efforts into a genuine partnership, reflecting the mutual priorities as identified in the five pillars of the Cook Islands – Australia of the ‘Oa Tumanava Partnership : 1. Strengthening our people-to-people links 2. Enhancing our security cooperation to address shared regional challenges 3. Achieving greater prosperity for our people and our region 4. Cooperating on regional and international issues, and 5. Fostering closer institutional linkages, including in support of resilient and inclusive societies. The Partnership Program will consist of four grant opportunities throughout the life of the program (FY2024/25 to FY2027/28), with an annual assessment and funding disbursement occurring once per financial year throughout this four-year period. One grant will be disbursed per financial year with a validity of twelve months. Australia’s continued support for the Cook Islands beyond its ODA graduation (01 January 2020) is an important demonstration of our tangible commitment to the bilateral relationship and reinforces our engagement with all members of the Pacific Islands Forum. To be eligible, the grant activity must align with and support the ‘Oa Tumanava Partnership and established priorities of the Cook Islands Government.",,,Department of Foreign Affairs and Trade,,"The Partnership Program is a closed non-competitive grant process, recognising the Cook Islands as best placed to identify their own national priorities. DFAT will administer the program according to the Commonwealth Grants Rules and Principles 2024 (CGRPs). Refer to further details/instructions in the Partnership Program Grant Guidelines. You can also contact the Australian High Commission in the Cook Island for further guidance, by calling +682 22223, via email AHCRarotonga@dfat.gov.au or in person - 1st floor, Philatelic Bureau Building, Takuvaine Rd, Avarua – Rarotonga.","$7,600,000.00"
